Date,Value
Q1 2012,-0.8
Q2 2012,-0.4
Q3 2012,-0.4
Q4 2012,-0.4
Q1 2013,0.1
Q2 2013,0.2
Q3 2013,0
Q4 2013,0.3
Q1 2014,0.3
Q2 2014,0.1
Q3 2014,0.8
Q4 2014,0.2
Q1 2015,0.6
Q2 2015,0.2
Q3 2015,0.6
Q4 2015,0.5
Q1 2016,1
Q2 2016,0.5
Q3 2016,0.2
Q4 2016,0.4
Q1 2017,0.2
Q2 2017,0.5
Q3 2017,0.6
Q4 2017,0.7
Q1 2018,0
Q2 2018,0.8
Q3 2018,0
Q4 2018,0.8
Q1 2019,0.9
Q2 2019,0.7
Q3 2019,0
Q4 2019,-0.4
Q1 2020,1.3
Q2 2020,-1.9
Q3 2020,2.6
Q4 2020,-0.3
Q1 2021,1.4
Q2 2021,1.5
Q3 2021,-0.4
Q4 2021,-0.1
Q1 2022,-0.1
Q2 2022,-0.8
Q3 2022,-0.3
Q4 2022,-0.3
Q1 2023,0.5
Q2 2023,0.3
Q3 2023,0.1
Q4 2023,0.5
Q1 2024,1.1
Q2 2024,0.4